variances,average of variances,variance of variances,frequencies,average of distances,word_length,nn_len,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,class
0.05381449,0.0546513557434082,0.0147271985188126,39552.0,0.9024846315383912,18.0,10.0,0.10771255,0.00643004,0.01749072,0.18780547,0.05106248,-0.06899773,-0.03002281,-0.04139374,0.19027278,-0.03269887,-0.02417332,-0.17127292,-0.12018036,-0.05826863,-0.04750618,0.00388466,0.07229356,-0.0913199,-0.06906097,-0.08800402,0.03766979,-0.09781983,0.14430858,0.00896935,0.09691569,0.1546543,-0.0397371,-0.01324846,0.16325863,0.07159722,-0.073801,-0.13778888,-0.06101049,0.04589026,-0.10485304,-0.07457117,0.04201552,0.18558495,-0.11586349,0.00433263,-0.05358648,0.05307649,-0.09837827,0.06226731,-0.049672,0.12093887,0.07245749,0.17604865,0.19430114,0.06981034,0.0
0.0524369,0.0532283425331115,0.019029289484024,106803.0,0.9590829849243164,5.0,5.4,-0.0520882308,-0.0463359766,-0.0159961786,0.1179571,-0.0545716994,0.0930346847,-0.0222231671,-9.68755776e-05,0.0756398961,0.0540199578,0.125020787,-0.129183501,-0.00150489947,-0.167831063,-0.147006258,-0.00934371911,0.00871277228,-0.0550400652,-0.168777421,-0.139031336,-0.0494680963,-0.131432846,0.0955888629,-0.00334765925,0.0971873105,0.244943798,0.0167144872,-0.100183792,-0.0183883738,0.109888718,-0.0725959465,-0.0832258537,-0.0124352304,0.0637959838,0.0403829701,0.00753952563,-0.0872491151,0.191062495,-0.0843587965,0.162151501,-0.0146706877,-0.0483381189,-0.155202419,-0.127895698,0.0855532885,0.203545317,-0.0289351642,0.227917299,0.103253715,0.0352865905,1.0
0.05454407,0.0538431517779827,0.0281163081526756,1885.0,0.7933767318725586,11.0,7.8,-0.07279278,-0.05268615,-0.10614558,0.09310982,-0.04650373,0.0449174,-0.10627224,-0.01747796,0.20578316,0.03036796,-0.16084626,-0.20324089,0.00290109,-0.06900158,-0.19988999,0.05848111,0.13226591,-0.09730671,-0.19906351,-0.06712977,-0.04270527,-0.16056725,0.0694624,-0.038694,-0.04240618,0.05934034,0.02464836,-0.15102634,0.0339464,0.16107723,-0.1013734,0.01024503,-0.01181131,0.14379935,-0.00453772,0.10293081,-0.18288745,0.05045459,-0.16696824,0.09431706,0.08270017,-0.04455904,-0.17775857,-0.13838807,0.13025863,0.07541256,0.06674542,0.161201,0.14528973,-0.00625556,0.0
0.05390643,0.0546611726284027,0.0239924192428588,1896.0,0.8165159821510315,7.0,6.2,0.1157615,0.00153518,0.05846493,0.04209057,0.26835743,-0.1134764,-0.12685837,-0.16849458,-0.09261639,0.04037056,-0.00893258,-0.18353032,0.03223318,-0.04759696,-0.22894987,-0.0323471,-0.0313566,-0.08327842,-0.10766774,-0.18262286,-0.0242006,-0.06415165,0.05805272,-0.0706187,-0.05372673,-0.03193571,-0.00770712,-0.1834653,0.04073424,-0.05256358,-0.14930968,0.05714578,0.10794942,0.0235037,0.03937912,0.13663335,0.06545284,-0.12673087,0.10654437,0.03324221,0.37187403,0.00964211,-0.0758443,-0.03491236,0.01621216,-0.05676976,0.17668454,0.19832473,0.17376707,0.06040332,0.0
0.05364703,0.053320875018835,0.0303944423794746,2333.0,0.9177259922027587,4.0,7.2,-0.0239628907,0.0382026695,0.067122899,0.122261807,-0.0214991849,5.88330186e-05,0.111422248,-0.0209197868,0.0175968762,0.124083593,0.0748141631,-0.249307036,-0.0939444453,-0.139599234,-0.028556319,0.00908395182,-0.0194888674,-0.111788146,-0.331430912,-0.191199511,-0.0275476221,-0.242328197,0.0606190711,0.0343148857,0.0819425136,0.108621202,-0.112272628,0.043610651,0.168345064,0.0382611528,0.056525778,0.154940367,0.123923406,0.0106138084,-0.118134245,-0.142023504,0.0408817381,0.0863794163,0.0019705859,0.050136175,0.0975544304,0.00594554888,-0.0524553582,-0.0767459571,0.020950323,0.0809696615,0.124611177,0.263163507,0.218485653,-0.0494711138,1.0
0.05177057,0.0537909418344497,0.0235442109405994,1932.0,0.9122523546218873,9.0,8.0,-0.108272463,0.0587647557,-0.0462348871,0.118764617,0.164724693,-0.104141384,-0.0420866124,0.0229013227,0.0465359986,0.111730471,-0.0173607655,-0.251583725,-0.25669536,-0.163990408,-0.248376936,0.0299149137,0.0737940967,-0.0644367561,-0.257935107,-0.145543456,-0.0390552804,-0.20493719,0.0984131172,0.0754055902,0.172947496,0.234397337,-0.102694869,0.0107062273,0.139173955,0.0141879283,-0.119296692,0.102153003,-0.0323870927,-0.0426880904,-0.0745438039,-0.0697553456,0.0240138415,0.0389457792,-0.0683620647,0.067379117,0.117732197,-0.00448291004,-0.0887107551,-0.172941014,-0.000146704813,0.116064347,0.0512732565,0.238307655,0.282594204,0.0480354615,0.0
0.05347152,0.0534816622734069,0.0258019044995307,26671.0,0.8763913989067078,5.0,4.8,0.17505558,-0.12894015,0.05156172,0.10679323,0.1015542,-0.01113077,0.03149914,-0.09979922,-0.16483879,0.07177528,0.07789518,-0.03876317,0.14161368,0.11093275,-0.2237467,-0.00874143,0.04957966,0.13756448,-0.15884031,-0.02502522,0.01583885,0.06744778,-0.01333671,-0.01764453,0.05164171,-0.15919916,-0.00130036,-0.19212103,0.00333133,-0.00780721,-0.08553128,0.07110602,-0.15493852,-0.00231745,-0.06306188,-0.04789262,-0.02039803,-0.16784067,-0.06774065,-0.05264043,0.10620342,0.04104954,-0.09626268,-0.06673564,-0.0271171,0.05237951,-0.06751791,-0.07941922,0.08192872,0.13379647,0.0
0.05347782,0.0543462947010994,0.0164588540792465,37342.0,0.9204116344451904,5.0,9.0,0.14078212,-0.01299602,-0.07358022,-0.1398489,0.06430563,0.0445606,-0.09667408,0.08036139,-0.05738287,-0.07031504,-0.03091925,-0.17384222,0.07844558,0.12247074,-0.13478649,0.16272938,-0.08160356,0.00937703,-0.15045165,-0.02525894,0.06009602,0.02165697,0.05535544,-0.041389,-0.08877958,0.06779455,-0.07384326,-0.12505808,-0.08520523,-0.07135134,0.06756375,-0.0108658,0.01436984,-0.08202711,-0.09829384,-0.05498066,-0.04837964,-0.00443726,-0.24237037,-0.20778918,0.06704571,0.06972351,-0.06898393,-0.04547343,-0.115229,0.09500311,-0.01308481,-0.01752558,0.16061893,0.0755958,1.0
0.0541939,0.0541731655597686,0.0191427413374185,295.0,0.901711368560791,5.0,7.0,0.10953896,0.00120385,0.04803415,-0.03697799,0.13441847,0.08189244,0.15181667,0.09797785,0.01802105,-0.08482087,0.13965093,-0.18982516,0.07226935,0.18664265,-0.32923195,0.00238422,0.0820822,0.22424674,-0.26142308,-0.11080033,0.05133889,0.2044874,-0.08160439,-0.04130985,-0.05801167,-0.07515468,-0.20653506,-0.13564341,-0.01566329,0.03272776,0.01205337,-0.03322325,-0.13715239,-0.11788809,-0.0650667,-0.11721795,-0.08067706,-0.15851791,-0.1734137,-0.06108238,0.00131918,0.15255156,0.02276331,0.02330276,-0.1239588,0.0513138,-0.1261001,0.05358444,0.02418895,0.13161607,1.0
0.05682022,0.052044677734375,0.045644886791706,939.0,0.8420737624168396,9.0,7.8,0.02817336,0.04783234,-0.09052058,-0.02895154,0.18334119,-0.17825297,0.07762735,0.144381,0.10106419,0.05315256,0.09968702,-0.16495746,0.09185936,-0.07163422,0.00832137,0.08478096,0.11500419,0.10295557,-0.12086822,-0.1545105,-0.00982204,-0.01857905,-0.04241015,-0.00894546,0.04581391,-0.03596015,0.04955799,-0.28902945,-0.03234613,-0.05310475,-0.04325463,0.05160767,0.11496405,0.04927097,-0.1840605,0.07859284,0.12808475,-0.0250963,0.01499826,0.00935402,0.19900076,-0.09002621,-0.02709064,-0.01692898,-0.00813064,-0.19954737,-0.03094126,0.14327292,-0.03369264,0.10037658,0.0
0.05785365,0.0563627526164054,0.0266928542405366,598.0,0.8281975150108337,5.0,7.0,0.18194859,-0.30651397,-0.00163787,-0.04663989,0.2366149,0.10844174,0.03233488,0.04097988,-0.11302514,0.03115204,0.09127939,-0.11791553,0.07442103,0.0332292,-0.22223243,-0.01827091,-0.03345913,0.12548389,-0.03948367,-0.01718661,0.01756784,-0.09425496,0.14790323,0.07249192,-0.08141916,-0.07862648,-0.1218297,-0.10976557,0.09586536,-0.04554285,0.10099654,-0.06389383,-0.11556809,-0.19145615,-0.03005943,0.11576468,-0.02658863,-0.03235332,-0.01525837,0.00136811,0.13595885,-0.10386998,-0.07740483,0.01354983,0.0124756,-0.07479388,0.09268151,0.09851297,-0.01458745,0.06449679,0.0
