dim_30,dim_141,dim_243,dim_259,dim_319,dim_323,dim_372,dim_439,dim_564,dim_652,dim_657,class
0.4906308948993683,-0.4068322777748108,0.03070366196334362,-0.15042057633399966,0.15811435878276825,-0.7244693636894226,-0.3678213655948639,-0.6377358436584473,-0.23553021252155304,0.25363537669181824,0.8221989274024963,0
0.13169704377651215,-0.15555711090564728,-0.1682359129190445,0.0555262565612793,0.010722473263740541,-0.8761918544769287,0.04664909467101097,-0.5832536816596985,-0.3776110708713532,0.27976298332214355,0.6713597178459167,1
0.41244590282440186,-0.6102008819580078,0.06052060425281525,-0.09588801115751266,0.2072478085756302,-0.750174880027771,-0.3014572858810425,-0.5254404544830322,-0.3604727983474731,0.09237058460712433,0.6903117299079895,1
0.057594925165176385,-0.2633308470249176,-0.2513959109783173,0.07714707404375076,-0.21979907155036926,-0.830774188041687,-0.035563252866268165,-0.34704452753067017,-0.43863582611083984,0.4168693125247955,0.9281338453292848,1
0.3968817889690399,-0.3877222836017609,-0.038719236850738525,-0.1282905489206314,0.10300159454345703,-0.6712504029273987,-0.4367345869541168,-0.5429477095603943,-0.3476102352142334,0.2804771959781647,0.7927767038345337,0
0.4559348225593567,-0.4634527266025543,0.1716126799583435,-0.2359728217124939,0.22663713991642,-0.6469519734382629,-0.5046703815460205,-0.7194811701774597,-0.3280518054962158,0.19239188730716705,0.6486713886260986,0
0.3493672013282776,-0.587685763835907,0.17690137028694153,-0.34583255648612976,0.2446052134037017,-0.6093727946281433,-0.4334690272808075,-0.672476053237915,-0.3027823865413666,0.08008234947919846,0.5864264369010925,0
0.6892593502998352,-0.3228930830955505,0.07882202416658401,-0.18862514197826385,0.24456872045993805,-0.7106663584709167,-0.5322000980377197,-0.6620776057243347,-0.3040159344673157,0.3272883892059326,0.7682273983955383,0
0.6892593502998352,-0.3228930830955505,0.07882202416658401,-0.18862514197826385,0.24456872045993805,-0.7106663584709167,-0.5322000980377197,-0.6620776057243347,-0.3040159344673157,0.3272883892059326,0.7682273983955383,0
0.4451326429843903,-0.4006642699241638,-0.006271243095397949,-0.1856923550367356,0.07877589017152786,-0.7294992804527283,-0.5720381736755371,-0.6534261703491211,-0.4237203896045685,0.2872452735900879,0.8086500763893127,0
0.3968817889690399,-0.3877222836017609,-0.038719236850738525,-0.1282905489206314,0.10300159454345703,-0.6712504029273987,-0.4367345869541168,-0.5429477095603943,-0.3476102352142334,0.2804771959781647,0.7927767038345337,0
0.20990514755249026,-0.2384556829929352,-0.15736857056617734,-0.2492067813873291,-0.11621953547000885,-0.9898248910903932,-0.3300814628601074,-0.5132473707199097,-0.5583893060684204,0.3590586483478546,0.8297789692878723,0
0.11735831201076508,-0.369940847158432,-0.21751058101654053,0.08840151876211166,-0.10880164057016373,-0.9287594556808472,0.04009409993886948,-0.5948132872581482,-0.3594707548618317,0.41718390583992,0.7062599062919617,0
0.1862474232912064,-0.3106417953968048,-0.19679313898086548,-0.06266872584819794,0.014043087139725685,-0.9025917053222656,0.1185142546892166,-0.455437570810318,-0.3112831115722656,0.33007827401161194,0.7912430763244629,0
